season,team,coach_name
2003,Northern Arizona,Mike Adras
2003,Loyola Marymount,Steve Aggers
2003,South Carolina State,Cy Alexander
2003,Iowa,Steve Alford
2003,Howard,Frankie Allen
2003,Creighton,Dana Altman
2003,Michigan,Tommy Amaker
2003,UAB,Mike Anderson Sr
2003,Murray State,Tevester Anderson
2003,Texas A&M-Corpus Christi,Ronnie Arrow
2003,Texas,Rick Barnes
2003,Ole Miss,Rod Barnes
2003,Rhode Island,Jim Baron
2003,Morgan State,Butch Beard
2003,West Virginia,John Beilein
2003,VMI,Bart Bellairs
2003,Saint Mary's,Randy Bennett
2003,USC,Henry Bibby
2003,UNC Asheville,Eddie Biedenbach
2003,Sacred Heart,Dave Bike
2003,Nicholls State,Ricky Blanton
2003,Baylor,Dave Bliss
2003,Syracuse,Jim Boeheim
2003,Eastern Michigan,Jim Boone
2003,William & Mary,Rick Boyages
2003,LSU,John Brady
2003,Cal State Northridge,Bobby Braswell
2003,California,Ben Braun
2003,Vermont,Tom Brennan
2003,Notre Dame,Mike Brey
2003,Cal Poly,Kevin Bromley
2003,Albany (NY),Will Brown
2003,UNC Wilmington,Brad Brownell
2003,Ball State,Tim Buckley
2003,Belmont,Rick Byrd
2003,UConn,Jim Calhoun
2003,Memphis,John Calipari
2003,Monmouth,Dave Calloway
2003,UT-Martin,Bret Campbell
2003,VCU,Jeff Capel III
2003,Northwestern,Bill Carmody
2003,Denver,Terry Carroll
2003,UTSA,Tim Carter
2003,Temple,John Chaney
2003,Kent State,Jim Christian
2003,Miami (FL),Perry Clark
2003,BYU,Steve Cleveland
2003,Miami (OH),Charlie Coles
2003,Nebraska,Barry Collier
2003,Hampton,Bobby Collins
2003,UIC,Jimmy Collins
2003,Texas Southern,Ronnie Courtney
2003,Weber State,Joe Cravens
2003,Marquette,Tom Crean
2003,Army,Jim Crews
2003,Bowling Green,Dan Dakich
2003,Cal State Fullerton,Donny Daniels
2003,Savannah State,Ed Daniels
2003,Santa Clara,Dick Davey
2003,Colgate,Emmett Davis
2003,Middle Tennessee,Kermit Davis Jr
2003,Furman,Larry Davis
2003,Indiana,Mike Davis
2003,ETSU,Ed DeChellis
2003,Quinnipiac,Joe DeSantis
2003,Navy,Don DeVoe
2003,Lamar,Mike Deane
2003,SMU,Mike Dement
2003,The Citadel,Pat Dennis
2003,Central Connecticut,Howie Dickenman
2003,James Madison,Sherman Dillard
2003,UNC,Matt Doherty
2003,Cornell,Steve Donahue
2003,Florida,Billy Donovan
2003,TCU,Neil Dougherty
2003,UC Irvine,Pat Douglass
2003,Valparaiso,Scott Drew
2003,Georgia State,Lefty Driesell
2003,Penn State,Jerry Dunn
2003,Penn,Fran Dunphy
2003,Liberty,Randy Dunton
2003,Jacksonville,Hugh Durham
2003,Montana State,Mick Durham
2003,Chicago State,Bo Ellis
2003,Auburn,Cliff Ellis
2003,Georgetown,Craig Esherick
2003,Iowa State,Larry Eustachy
2003,Southern Utah,Bill Evans
2003,Louisiana,Jessie Evans
2003,Arizona State,Rob Evans
2003,Northeastern,Ron Everhart
2003,Appalachian State,Houston Fancher
2003,Loyola (IL),Larry Farmer
