season,round,accuracy,log_loss,n
2009,1,0.6774193548387096,0.490272331264087,62
2009,2,0.9333333333333333,0.31121092141776996,30
2009,3,0.7142857142857143,0.5309011204394677,14
2009,4,0.3333333333333333,0.7415164538608748,6
2009,5,0.0,1.121446548663485,2
2010,1,0.8620689655172413,0.382354764523233,58
2010,2,0.8666666666666667,0.3984270971542367,30
2010,3,0.7142857142857143,0.5059552260681601,14
2010,4,0.25,0.6783811575488612,8
2010,5,1.0,0.49090493413306985,4
2010,6,1.0,0.12344720387438798,2
2011,1,0.6785714285714286,0.5470688271844321,56
2011,2,0.6666666666666666,0.5359089418127644,30
2011,3,0.2857142857142857,1.0079499659746984,14
2011,4,0.3333333333333333,1.4026909288009641,6
2011,5,1.0,0.41315100497553364,4
2011,6,1.0,0.10564804061002678,2
2012,1,0.8148148148148148,0.526993055609385,54
2012,2,1.0,0.32530548653793845,28
2012,3,1.0,0.2956306483480224,12
2012,4,0.6666666666666666,0.5543988054573369,6
2012,5,0.5,0.46822015225266245,4
2012,6,1.0,0.20646348397966358,2
2013,1,0.8275862068965517,0.47853199751476927,58
2013,2,0.8666666666666667,0.4536581839311498,30
2013,3,0.875,0.3803441971062986,16
2013,4,0.75,0.46721357296400456,8
2013,5,1.0,0.31159808182332005,4
2013,6,1.0,0.5709614643414282,2
2014,1,0.8333333333333334,0.334682595208246,60
2014,2,0.8666666666666667,0.4008498025256647,30
2014,3,1.0,0.4482018360204214,16
2014,4,0.75,0.4123235836987555,8
2014,5,1.0,0.6578469091072949,4
2014,6,1.0,0.312209283496764,2
2015,1,0.75,0.36713917027389936,56
2015,2,0.6923076923076923,0.4331868342211894,26
2015,3,1.0,0.17320203000237652,12
2015,4,0.75,0.3779560154718842,8
2015,5,0.5,0.5999351108960812,4
2015,6,0.0,0.8031022444810691,2
2016,1,0.7241379310344828,0.5310717868978303,58
2016,2,0.8,0.4153896179070985,30
2016,3,0.8571428571428571,0.4275448411094883,14
2016,4,0.3333333333333333,0.7000381813571348,6
2016,5,1.0,0.3423238420263294,2
2017,1,0.896551724137931,0.2147972703769849,58
2017,2,0.7857142857142857,0.463834734707843,28
2017,3,0.7142857142857143,0.6172332927136976,14
2017,4,0.3333333333333333,0.8521828544397646,6
2017,5,1.0,0.46503754688148935,2
2018,1,0.8214285714285714,0.5169009074194327,56
2018,2,0.8,0.39606588682987726,30
2018,3,0.75,0.4769855227286227,16
2018,4,1.0,0.2740592730197979,8
2018,5,1.0,0.28336208259474804,4
2018,6,1.0,0.2036169311884375,2
2019,1,0.8928571428571429,0.29911804508377193,56
2019,2,0.9230769230769231,0.28987797695412715,26
2019,3,0.5714285714285714,0.6288227323356581,14
2019,4,1.0,0.29577418207551026,8
2019,5,0.5,0.7540956269494808,4
2019,6,1.0,0.22576275561013576,2
2021,1,0.6428571428571429,0.558976568134131,56
2021,2,0.8125,0.38149852019300257,32
2021,3,1.0,0.21803335801809004,16
2021,4,1.0,0.4159644090079259,8
2021,5,1.0,0.391229737758932,4
2021,6,1.0,0.6273131847895952,2
