season,round,accuracy,log_loss,n
2009,1,0.6774193548387096,0.5451896554048539,62
2009,2,0.8,0.33413114656656223,30
2009,3,0.5714285714285714,0.5850685107132259,14
2009,4,0.3333333333333333,1.0105151536655796,6
2009,5,0.0,0.97017745180409,2
2010,1,0.7586206896551724,0.4617965817943787,58
2010,2,0.6,0.7131504804402752,30
2010,3,0.7142857142857143,0.6284151376146764,14
2010,4,0.5,0.703744858409856,8
2010,5,1.0,0.4193085695848705,4
2010,6,1.0,0.2369168519384215,2
2011,1,0.8275862068965517,0.4199274139295775,58
2011,2,0.5333333333333333,0.8265140219937804,30
2011,3,0.14285714285714285,1.100546098756096,14
2011,4,0.0,1.6818955146806553,6
2011,5,0.5,0.7927998661029473,4
2011,6,1.0,0.5540224496604738,2
2012,1,0.7037037037037037,0.6446268461386699,54
2012,2,0.7857142857142857,0.3937192190973357,28
2012,3,0.6666666666666666,0.6047692830355891,12
2012,4,1.0,0.490648561450848,6
2012,5,0.5,0.46047678704998957,4
2012,6,1.0,0.5401611194094247,2
2013,1,0.6896551724137931,0.6391429598290723,58
2013,2,0.6666666666666666,0.6154569913451102,30
2013,3,0.625,0.592722206171825,16
2013,4,0.5,0.8981826863503908,8
2013,5,0.5,0.47503384467102405,4
2013,6,1.0,0.31050001301116925,2
2014,1,0.8,0.4854028405307472,60
2014,2,0.6666666666666666,0.6875019996586474,30
2014,3,0.5,0.7414076782325092,16
2014,4,0.25,0.8605319769981801,8
2014,5,0.0,1.3355654002168633,4
2014,6,0.0,0.7160015544655983,2
2015,1,0.8928571428571429,0.3792519212712019,56
2015,2,0.6923076923076923,0.46884638990435423,26
2015,3,0.8333333333333334,0.40780255800131576,12
2015,4,0.5,0.6577808739047636,8
2015,5,0.5,0.5983555008109606,4
2015,6,0.0,0.8321286909279069,2
2016,1,0.6451612903225806,0.6092052096510028,62
2016,2,0.7333333333333333,0.4989300965425836,30
2016,3,0.7142857142857143,0.5497666598426051,14
2016,4,0.0,1.2267614208125635,6
2016,5,1.0,0.4607795957344633,2
2017,1,0.8333333333333334,0.3950662577370281,60
2017,2,0.7142857142857143,0.6792725192346326,28
2017,3,0.7142857142857143,0.7666411431030795,14
2017,4,0.6666666666666666,0.5862149952572525,6
2017,5,1.0,0.10839784427890226,2
2018,1,0.6896551724137931,0.5621930654158631,58
2018,2,0.6666666666666666,0.680652443517175,30
2018,3,0.5,0.7665780205483594,16
2018,4,0.75,0.5242279311271683,8
2018,5,1.0,0.3765938080564695,4
2018,6,1.0,0.4563266314305795,2
2019,1,0.6428571428571429,0.49494075140523835,56
2019,2,1.0,0.3144698875342575,26
2019,3,0.5714285714285714,0.4908391566891618,14
2019,4,0.25,0.871318869367675,8
2019,5,0.5,0.5600448791844497,4
2019,6,1.0,0.4414232343022728,2
2021,1,0.6896551724137931,0.597528304458539,58
2021,2,0.5,0.7103201190011925,32
2021,3,0.75,0.6291120432500443,16
2021,4,0.75,0.6403122318967985,8
2021,5,0.5,0.4710414386990258,4
2021,6,0.0,0.906665230778651,2
