season,round,accuracy,log_loss,n
1995,1,0.75,0.5215746187301341,64
1995,2,0.875,0.3566564148933418,32
1995,3,0.75,0.5879687199968555,16
1995,4,0.5,0.7119109924098597,8
1995,5,0.75,0.5320750444794464,4
1995,6,1.0,0.546268149109858,2
1996,1,0.71875,0.4645811959571689,64
1996,2,0.8125,0.509802203343644,32
1996,3,0.875,0.5454047595380696,16
1996,4,0.5,0.7653188697047091,8
1996,5,0.75,0.6565541512196313,4
1996,6,1.0,0.35797050911744477,2
1997,1,0.78125,0.4890836505336425,64
1997,2,0.625,0.62401962594912,32
1997,3,0.875,0.48481170769837106,16
1997,4,1.0,0.41188926359161837,8
1997,5,0.25,0.9597875626643121,4
1997,6,0.0,1.2199412066665842,2
1998,1,0.71875,0.512303727744863,64
1998,2,0.6875,0.6100593359251707,32
1998,3,0.875,0.3840350948212289,16
1998,4,0.5,0.7071142242357547,8
1998,5,0.5,0.8149764935836858,4
1998,6,1.0,0.5803735585357253,2
1999,1,0.625,0.5255896535721064,64
1999,2,0.5625,0.7435951621815199,32
1999,3,0.625,0.527288177686438,16
1999,4,0.75,0.39898960865316774,8
1999,5,0.75,0.5279691127550684,4
1999,6,0.5,0.6988560779157396,2
2000,1,0.90625,0.3535524526386685,64
2000,2,0.4375,0.9292978375415301,32
2000,3,0.5,0.7136881041964305,16
2000,4,0.25,0.7589131686513341,8
2000,5,1.0,0.3362807430581378,4
2000,6,1.0,0.2927315016233796,2
2001,1,0.59375,0.5996480446355051,64
2001,2,0.8125,0.49135114546310865,32
2001,3,0.75,0.5211873600827278,16
2001,4,0.5,0.5602685126047959,8
2001,5,0.5,0.6572792891551662,4
2001,6,1.0,0.5529967163907328,2
2002,1,0.78125,0.49054816605716367,64
2002,2,0.6875,0.6542228853571785,32
2002,3,0.625,0.6990174811002711,16
2002,4,1.0,0.4169097456338475,8
2002,5,0.25,0.8687569902855066,4
2002,6,1.0,0.30651878008643507,2
2003,1,0.75,0.435815270408601,64
2003,2,0.625,0.5933898225437342,32
2003,3,0.75,0.43138424961659405,16
2003,4,0.25,0.7886341161393854,8
2003,5,0.5,0.8095797537904756,4
2003,6,0.0,0.8129591706917616,2
2004,1,0.875,0.3841904509364127,64
2004,2,0.5625,0.7695036199833489,32
2004,3,0.75,0.542052281233339,16
2004,4,0.75,0.4953266353959387,8
2004,5,0.0,0.8382891707370195,4
2004,6,1.0,0.5896530434987788,2
2005,1,0.75,0.47364959983237725,64
2005,2,0.625,0.6128027737064009,32
2005,3,0.5,0.6605940193727038,16
2005,4,0.75,0.5585838742653109,8
2005,5,1.0,0.3483210739778398,4
2005,6,0.5,0.7023555565180337,2
2006,1,0.71875,0.5295602663125261,64
2006,2,0.6875,0.554735653641778,32
2006,3,0.75,0.5398037067788506,16
2006,4,0.0,1.28889892014138,8
2006,5,1.0,0.3840928688795512,4
2006,6,0.0,0.80311537596226,2
2007,1,0.84375,0.36041054209246426,64
2007,2,0.6875,0.48875688766101094,32
2007,3,1.0,0.42092982804565204,16
2007,4,0.5,0.6830333453043609,8
2007,5,1.0,0.5656368839967209,4
2007,6,0.5,0.7040108154659253,2
2008,1,0.75,0.48771205380637894,64
2008,2,0.8125,0.5338580711948092,32
